Source,Target,Type,Id,Label,Weight,relationship,Color
Q388906,Q851213,Directed,192,,1,subclass_of,"#000000"
Q476983,Q325504,Directed,193,,1,subclass_of,"#000000"
Q513357,Q851213,Directed,194,,1,subclass_of,"#000000"
Q602561,Q851213,Directed,195,,1,subclass_of,"#000000"
Q655514,Q851213,Directed,196,,1,subclass_of,"#000000"
Q749475,Q757143,Directed,197,,1,subclass_of,"#000000"
Q820049,Q388906,Directed,198,,1,subclass_of,"#000000"
Q828243,Q372103,Directed,199,,1,subclass_of,"#000000"
Q848457,Q388906,Directed,200,,1,subclass_of,"#000000"
Q858579,Q663519,Directed,201,,1,subclass_of,"#000000"
Q903735,Q388906,Directed,202,,1,subclass_of,"#000000"
Q922865,Q388906,Directed,203,,1,subclass_of,"#000000"
Q1091056,Q817138,Directed,204,,1,subclass_of,"#000000"
Q1136331,Q817138,Directed,205,,1,subclass_of,"#000000"
Q1191299,Q388906,Directed,206,,1,subclass_of,"#000000"
Q1242484,Q388906,Directed,207,,1,subclass_of,"#000000"
Q1259016,Q660984,Directed,208,,1,subclass_of,"#000000"
Q1265050,Q388906,Directed,209,,1,subclass_of,"#000000"
Q1435509,Q817138,Directed,210,,1,subclass_of,"#000000"
Q1455487,Q388906,Directed,211,,1,subclass_of,"#000000"
Q1585075,Q388906,Directed,212,,1,subclass_of,"#000000"
Q1585075,Q663519,Directed,213,,1,subclass_of,"#000000"
Q1756101,Q663519,Directed,214,,1,subclass_of,"#000000"
Q1890098,Q372103,Directed,215,,1,subclass_of,"#000000"
Q2181965,Q388906,Directed,216,,1,subclass_of,"#000000"
Q2396639,Q663519,Directed,217,,1,subclass_of,"#000000"
Q2406633,Q817138,Directed,218,,1,subclass_of,"#000000"
Q2465085,Q757143,Directed,219,,1,subclass_of,"#000000"
Q2478478,Q817138,Directed,220,,1,subclass_of,"#000000"
Q2549052,Q817138,Directed,221,,1,subclass_of,"#000000"
Q2634010,Q663519,Directed,222,,1,subclass_of,"#000000"
Q2638634,Q372103,Directed,223,,1,subclass_of,"#000000"
Q2693142,Q372103,Directed,224,,1,subclass_of,"#000000"
Q2866725,Q757143,Directed,225,,1,subclass_of,"#000000"
Q3098078,Q388906,Directed,226,,1,subclass_of,"#000000"
Q3492949,Q388906,Directed,227,,1,subclass_of,"#000000"
Q3501147,Q388906,Directed,228,,1,subclass_of,"#000000"
Q3538739,Q388906,Directed,229,,1,subclass_of,"#000000"
Q3613770,Q757143,Directed,230,,1,subclass_of,"#000000"
Q4155078,Q372103,Directed,231,,1,subclass_of,"#000000"
Q4852979,Q663519,Directed,232,,1,subclass_of,"#000000"
Q4993553,Q757143,Directed,233,,1,subclass_of,"#000000"
Q6658771,Q817138,Directed,234,,1,subclass_of,"#000000"
Q9260728,Q757143,Directed,235,,1,subclass_of,"#000000"
Q9615674,Q372103,Directed,236,,1,subclass_of,"#000000"
Q11334714,Q663519,Directed,237,,1,subclass_of,"#000000"
Q11680297,Q663519,Directed,238,,1,subclass_of,"#000000"
Q11830421,Q388906,Directed,239,,1,subclass_of,"#000000"
Q12629666,Q388906,Directed,240,,1,subclass_of,"#000000"
Q15957030,Q372103,Directed,241,,1,subclass_of,"#000000"
Q16837290,Q757143,Directed,242,,1,subclass_of,"#000000"
Q24077837,Q757143,Directed,243,,1,subclass_of,"#000000"
Q25099691,Q325504,Directed,244,,1,subclass_of,"#000000"
Q25389262,Q663519,Directed,245,,1,subclass_of,"#000000"
Q56342573,Q388906,Directed,246,,1,subclass_of,"#000000"
Q97265899,Q757143,Directed,247,,1,subclass_of,"#000000"
Q106521759,Q663519,Directed,248,,1,subclass_of,"#000000"
Q106522238,Q217597,Directed,249,,1,subclass_of,"#000000"
Q106528422,Q325397,Directed,250,,1,subclass_of,"#000000"
Q106594174,Q388906,Directed,251,,1,subclass_of,"#000000"
Q106594523,Q655514,Directed,252,,1,subclass_of,"#000000"
Q106636289,Q663519,Directed,253,,1,subclass_of,"#000000"
Q106641525,Q817138,Directed,254,,1,subclass_of,"#000000"
Q106653596,Q663519,Directed,255,,1,subclass_of,"#000000"
Q106653596,Q757143,Directed,256,,1,subclass_of,"#000000"
Q106922571,Q372103,Directed,257,,1,subclass_of,"#000000"
Q109538574,Q216961,Directed,258,,1,subclass_of,"#000000"
Q110584468,Q217597,Directed,259,,1,subclass_of,"#000000"
Q110584608,Q217597,Directed,260,,1,subclass_of,"#000000"
Q110874814,Q663519,Directed,261,,1,subclass_of,"#000000"
Q112663444,Q388906,Directed,262,,1,subclass_of,"#000000"
Q113510667,Q388906,Directed,263,,1,subclass_of,"#000000"
Q114878405,Q217597,Directed,264,,1,subclass_of,"#000000"
Q115456684,Q757143,Directed,265,,1,subclass_of,"#000000"
Q121494463,Q325504,Directed,266,,1,subclass_of,"#000000"
Q122839839,Q388906,Directed,267,,1,subclass_of,"#000000"
Q123543092,Q388906,Directed,268,,1,subclass_of,"#000000"
Q124791567,Q325504,Directed,269,,1,subclass_of,"#000000"
Q125854043,Q388906,Directed,270,,1,subclass_of,"#000000"
Q127471087,Q388906,Directed,271,,1,subclass_of,"#000000"
Q127471087,Q660984,Directed,272,,1,subclass_of,"#000000"
Q136696186,Q388906,Directed,273,,1,subclass_of,"#000000"
Q423918,Q1326777,Directed,274,,1,subclass_of,"#000000"
Q660984,Q851213,Directed,275,,1,subclass_of,"#000000"
Q663519,Q851213,Directed,276,,1,subclass_of,"#000000"
Q823560,Q1326777,Directed,277,,1,subclass_of,"#000000"
Q848852,Q851213,Directed,278,,1,subclass_of,"#000000"
Q861823,Q851213,Directed,279,,1,subclass_of,"#000000"
Q888137,Q851213,Directed,280,,1,subclass_of,"#000000"
Q898709,Q851213,Directed,281,,1,subclass_of,"#000000"
Q1033912,Q851213,Directed,282,,1,subclass_of,"#000000"
Q1136045,Q851213,Directed,283,,1,subclass_of,"#000000"
Q1143744,Q98528166,Directed,284,,1,subclass_of,"#000000"
Q1165777,Q851213,Directed,285,,1,subclass_of,"#000000"
Q1166726,Q851213,Directed,286,,1,subclass_of,"#000000"
Q1191544,Q851213,Directed,287,,1,subclass_of,"#000000"
Q1262781,Q2478478,Directed,288,,1,subclass_of,"#000000"
Q1325944,Q851213,Directed,289,,1,subclass_of,"#000000"
Q1661924,Q851213,Directed,290,,1,subclass_of,"#000000"
Q1866223,Q1326777,Directed,291,,1,subclass_of,"#000000"
Q1976128,Q2549052,Directed,292,,1,subclass_of,"#000000"
Q2406633,Q851213,Directed,293,,1,subclass_of,"#000000"
Q2467789,Q851213,Directed,294,,1,subclass_of,"#000000"
Q2866725,Q851213,Directed,295,,1,subclass_of,"#000000"
Q3039303,Q851213,Directed,296,,1,subclass_of,"#000000"
Q3108920,Q851213,Directed,297,,1,subclass_of,"#000000"
Q3587612,Q1326777,Directed,298,,1,subclass_of,"#000000"
Q3613770,Q2478478,Directed,299,,1,subclass_of,"#000000"
Q4045538,Q851213,Directed,300,,1,subclass_of,"#000000"
Q4049849,Q851213,Directed,301,,1,subclass_of,"#000000"
Q4155078,Q1403744,Directed,302,,1,subclass_of,"#000000"
Q5071702,Q98528166,Directed,303,,1,subclass_of,"#000000"
Q5320459,Q5551384,Directed,304,,1,subclass_of,"#000000"
Q5716953,Q851213,Directed,305,,1,subclass_of,"#000000"
Q7844612,Q851213,Directed,306,,1,subclass_of,"#000000"
Q7844612,Q98528166,Directed,307,,1,subclass_of,"#000000"
Q9364028,Q851213,Directed,308,,1,subclass_of,"#000000"
Q10293901,Q851213,Directed,309,,1,subclass_of,"#000000"
Q11332204,Q851213,Directed,310,,1,subclass_of,"#000000"
Q12200830,Q851213,Directed,311,,1,subclass_of,"#000000"
Q16625659,Q2342263,Directed,312,,1,subclass_of,"#000000"
Q17146868,Q851213,Directed,313,,1,subclass_of,"#000000"
Q18379604,Q851213,Directed,314,,1,subclass_of,"#000000"
Q19358266,Q851213,Directed,315,,1,subclass_of,"#000000"
Q19358266,Q98528166,Directed,316,,1,subclass_of,"#000000"
Q19938910,Q851213,Directed,317,,1,subclass_of,"#000000"
Q21006606,Q851213,Directed,318,,1,subclass_of,"#000000"
Q24077837,Q2478478,Directed,319,,1,subclass_of,"#000000"
Q25408203,Q851213,Directed,320,,1,subclass_of,"#000000"
Q30594541,Q851213,Directed,321,,1,subclass_of,"#000000"
Q30902501,Q851213,Directed,322,,1,subclass_of,"#000000"
Q55641646,Q851213,Directed,323,,1,subclass_of,"#000000"
Q55641735,Q851213,Directed,324,,1,subclass_of,"#000000"
Q56276781,Q851213,Directed,325,,1,subclass_of,"#000000"
Q65330805,Q851213,Directed,326,,1,subclass_of,"#000000"
Q65937774,Q851213,Directed,327,,1,subclass_of,"#000000"
Q79784514,Q11308620,Directed,328,,1,subclass_of,"#000000"
Q80480981,Q3876770,Directed,329,,1,subclass_of,"#000000"
Q90730712,Q4059163,Directed,330,,1,subclass_of,"#000000"
Q97278139,Q1634085,Directed,331,,1,subclass_of,"#000000"
Q98528149,Q851213,Directed,332,,1,subclass_of,"#000000"
Q98528171,Q6865341,Directed,333,,1,subclass_of,"#000000"
Q100922002,Q851213,Directed,334,,1,subclass_of,"#000000"
Q101109587,Q851213,Directed,335,,1,subclass_of,"#000000"
Q104602773,Q851213,Directed,336,,1,subclass_of,"#000000"
Q105636940,Q65937906,Directed,337,,1,subclass_of,"#000000"
Q105672644,Q851213,Directed,338,,1,subclass_of,"#000000"
Q106130091,Q851213,Directed,339,,1,subclass_of,"#000000"
Q106514601,Q851213,Directed,340,,1,subclass_of,"#000000"
Q106520965,Q851213,Directed,341,,1,subclass_of,"#000000"
Q106547179,Q851213,Directed,342,,1,subclass_of,"#000000"
Q106576141,Q851213,Directed,343,,1,subclass_of,"#000000"
Q106876075,Q851213,Directed,344,,1,subclass_of,"#000000"
Q107505833,Q1136331,Directed,345,,1,subclass_of,"#000000"
Q107697201,Q851213,Directed,346,,1,subclass_of,"#000000"
Q107985638,Q11308620,Directed,347,,1,subclass_of,"#000000"
Q108297187,Q851213,Directed,348,,1,subclass_of,"#000000"
Q108297243,Q851213,Directed,349,,1,subclass_of,"#000000"
Q109469638,Q851213,Directed,350,,1,subclass_of,"#000000"
Q109589387,Q851213,Directed,351,,1,subclass_of,"#000000"
Q109873537,Q851213,Directed,352,,1,subclass_of,"#000000"
Q110391587,Q851213,Directed,353,,1,subclass_of,"#000000"
Q110527222,Q851213,Directed,354,,1,subclass_of,"#000000"
Q110620412,Q2626684,Directed,355,,1,subclass_of,"#000000"
Q111442385,Q851213,Directed,356,,1,subclass_of,"#000000"
Q112997482,Q90568328,Directed,357,,1,subclass_of,"#000000"
